id,species,y,dist
1,†Cratomastotermes wolfschwenningeri,310,Distribution: Neotropical Region—Brazil: Ceará.
6,†Blattotermes massiliensis,80,Distribution: Palaearctic Region—France.
6,†Blattotermes neoxenus,233,Distribution: Australian Region—Australia: Queensland.
6,†Blattotermes wheeleri,386,Distribution: Nearctic Region—USA: Tennessee.
7,†Garmitermes succineus,187,Distribution: Palaearctic Region—Poland.
7,†Idanotermes desioculus,435,Distribution: Palaearctic Region—Poland.
8,†Khanitermes acutipennis,80,Distribution: Oriental Region—Mongolia.
9,†Mastotermes anglicus,422,Distribution: Palaearctic Region—United Kingdom: England.
10,†Mastotermes bournemouthensis,378,Distribution: Palaearctic Region—United Kingdom: England.
11,†Mastotermes croaticus,80,Distribution: Palaearctic Region—Croatia.
11,Mastotermes darwiniensis,533,"Distribution: Australian Region—Australia: Northern Territory (W Plateau), Western Australia  (N coastal)."
18,†Mastotermes haidingeri,80,Distribution: Palaearctic Region—Croatia; France.
19,†Mastotermes heerii,80,Distribution: Palaearctic Region—Germany.
19,†Mastotermes krishnorum,451,Distribution: Palaearctic Region—Germany.
19,†Mastotermes minor,606,Distribution: Palaearctic Region—Croatia.
20,†Mastotermes minutus,200,Distribution: Palaearctic Region—France.
20,†Mastotermes picardi,354,Distribution: Palaearctic Region—France.
20,†Mastotermes sarthensis,485,Distribution: Palaearctic Region—France.
23,†Miotermes randeckensis,211,Distribution: Palaearctic Region—Germany.
23,†Miotermes spectabilis,452,Distribution: Palaearctic Region—France.
26,†Mastotermites stuttgartensis,80,Distribution: Palearctic Region.
28,†Termopsis bremii,521,Distribution: Palaearctic Region—Poland: Baltic amber.
30,†Termopsis gracilipennis,489,Distribution: Palaearctic Region—France-Germany border.
31,†Termopsis mallaszi,80,Distribution: Palaearctic Region—Hungary.
31,†Termopsis transsylvanica,277,Distribution: Palaearctic Region—Hungary.
31,†Termopsis ukapirmasi,474,Distribution: Palaearctic Region—Poland.
36,Archotermopsis wroughtoni,288,"Distribution: Oriental Region—China; India: Himachal Pradesh, Jammu and Kashmir, Uttar   Pradesh; Pakistan."
43,†Parotermes insignis,569,Distribution: Nearctic Region—USA: Colorado.
45,Zootermopsis angusticollis,409,Distribution: Nearctic Region—Southwestern Canada to Northwestern Mexico.
50,†Zootermopsis coloradensis,183,Distribution: Nearctic Region—USA: Colorado.
51,Zootermopsis laticeps,80,"Distribution: Nearctic Region—Mexico: Sonora, Chihuahua; USA: Arizona, New Mexico, Texas."
52,Zootermopsis nevadensis,80,"Distribution: Nearctic Region—Mexico: Baja California; USA: California, Montana, Nevada."
55,Zootermopsis nevadensis,80,Distribution: Nearctic Region—USA: California.
62,Anacanthotermes baeckmannianus,80,Distribution: Palaearctic Region—Kazakhstan.
62,Anacanthotermes bagherii,262,Distribution: Palaearctic Region—Iran.
62,Anacanthotermes baluchistanicus,401,Distribution: Palaearctic Region—Pakistan: Baluchistan.
63,Anacanthotermes esmailii,80,Distribution: Palaearctic Region—Iran.
69,Anacanthotermes saudiensis,265,Distribution: Palaearctic Region—Saudi Arabia.
69,Anacanthotermes septentrionalis,469,Distribution: Palaearctic Region—Afghanistan; Iran; Turkmenistan.
72,Anacanthotermes vagans,80,Distribution: Palaearctic Region—Afghanistan; Iran; Iraq; Kuwait; Pakistan: Baluchistan; Saudi  Arabia.
73,Anacanthotermes viarum,395,Distribution: Oriental Region—India: Tamil Nadu; Sri Lanka.
77,Hodotermes mossambicus,80,Distribution: Ethiopian Region—Angola; Botswana; Ethiopia; Kenya; Malawi; Mozambique;  Namibia; South Africa; Tanzania; Uganda; Zambia.
83,Microhodotermes maroccanus,80,Distribution: Palaearctic Region—Morocco.
83,Microhodotermes viator,309,Distribution: Ethiopian Region—Namibia; South Africa.
86,Microhodotermes wasmanni,198,Distribution: Palaearctic Region—Egypt; Israel; Libya; Tunisia.
88,† Chilgatermes,321,Distribution: Ethiopian Region—Ethiopia.
89,Porotermes adamsoni,509,"Distribution: Australian Region—Australia: Australian Capital Territory, New South Wales,  Queensland, South Australia, Tasmania, Victoria; New Zealand: intercepted."
92,Porotermes quadricollis,428,"Distribution: Neotropical Region—Argentina: Chubut, Neuquen, Río Negro; Chile."
97,Stolotermes africanus,80,Distribution: Ethiopian Region—South Africa.
97,†Stolotermes amanoi,495,Distribution: Palaearctic Region—Japan: Honshu.
98,Stolotermes australicus,80,Distribution: Australian Region—Queensland.
100,Stolotermes ruficeps,228,Distribution: Australian Region—New Zealand.
101,Stolotermes victoriensis,80,"Distribution: Australian Region—Australia: Australian Capital Territory, New South Wales,  Queensland, Victoria."
108,Allotermes papillifer,162,Distribution: Ethiopian Region—Madagascar.
108,Allotermes paradoxus,355,Distribution: Ethiopian Region—Madagascar.
109,Bicornitermes bicornis,290,Distribution: Ethiopian Region—Congo-Zaire; Uganda.
109,Bicornitermes emersoni,505,Distribution: Ethiopian Region—Congo-Zaire.
110,Bicornitermes exsertifrons,80,Distribution: Ethiopian Region—Nigeria.
110,Bicornitermes spinicollis,284,Distribution: Ethiopian Region—Ghana; Nigeria; Tanzania.
112,Bifiditermes beesoni,80,"Distribution: Oriental Region—India: Delhi, Haryana, Uttar Pradesh; Pakistan."
114,Bifiditermes improbus,596,"Distribution: Australian Region—Australia: Australian Capital Territory, New South Wales,  Queensland, South Australia, Tasmania, Victoria, Western Australia; New Zealand: introduced."
117,Bifiditermes jeannelanus,250,Distribution: Ethiopian Region—Kenya; Tanzania; Uganda.
117,Bifiditermes madagascariensis,530,Distribution: Ethiopian Region—Madagascar.
119,Bifiditermes pintoi,80,Distribution: Oriental Region—India: Orissa; Sri Lanka.
119,Bifiditermes rogierae,430,Distribution: Palaearctic Region—Canary Islands.
120,Bifiditermes sylvaticus,240,Distribution: Ethiopian Region—Kenya; Uganda.
123,Calcaritermes guatemalae,80,Distribution: Neotropical Region—Guatemala.
124,Calcaritermes nearcticus,80,"Distribution: Nearctic Region—USA: Florida, Georgia."
124,Calcaritermes nigriceps,592,Distribution: Neotropical Region—Brazilian Amazonia; Colombia; Guyana; Trinidad and  Tobago.
127,Calcaritermes temnocephalus,80,Distribution: Neotropical Region—Costa Rica; Dominica; Martinique; St.
128,Ceratokalotermes spoliator,535,"Distribution: Australian Region—Australia: Australian Capital Territory, New South Wales,  Queensland, Victoria."
129,Comatermes perfectus,537,Distribution: Neotropical Region—Bolivia; Colombia; Dominica; Martinique; Montserrat;  Nicaragua; Panama; Peru; St.
130,†Cratokalotermes santanensis,555,Distribution: Neotropical Region—Brazil: Ceará.
134,Cryptotermes abruptus,80,Distribution: Neotropical Region—Mexico.
134,Cryptotermes aequacornis,218,Distribution: Neotropical Region—Trinidad.
134,Cryptotermes albipes,345,Distribution: Papuan Region—New Caledonia; New Hebrides.
135,Cryptotermes angustinotus,80,"Distribution: Oriental Region—China: Guizhou, Sichuan."
135,Cryptotermes austrinus,317,"Distribution: Australian Region—Australia: New South Wales, Northern Territory, South  Australia, Victoria, Western Australia."
135,†Cryptotermes batheri,500,Distribution: Ethiopian Region—East Africa.
136,Cryptotermes bengalensis,80,"Distribution: Oriental Region—Bangladesh; China; India: Andaman and Nicobar Islands,  Andhra Pradesh, Assam, Gujarat, Karnataka, Madhya Pradesh, Orissa, Rajasthan, Tripura, Uttar Pradesh, West Bengal; Sri Lanka; Thailand."
138,Cryptotermes brevis,387,"Distribution: Australian Region—Australia: New South Wales, Queensland, NE and SE    coastal areas."
146,Cryptotermes cavifrons,509,Distribution: Nearctic Region—USA: Florida.
149,Cryptotermes chasei,80,Distribution: Neotropical Region—Dominican Republic.
151,Cryptotermes cymatofrons,80,Distribution: Neotropical Region—Bahamas; Cuba.
151,Cryptotermes cynocephalus,231,Distribution: Australian Region—Australia: Queensland.
153,Cryptotermes darlingtonae,80,Distribution: Neotropical Region—Dominica; Guadeloupe; Montserrat.
153,Cryptotermes darwini,205,Distribution: Neotropical Region—Galápagos Islands.
153,Cryptotermes daulti,491,Distribution: Oriental Region—India.
154,Cryptotermes declivis,80,"Distribution: Oriental Region—China: Fujian, Guangdong, Guangxi, Guizhou, Hainan, Sichuan,  Yunnan."
163,Cryptotermes dudleyi,80,"Distribution: Australian Region—Australia: New South Wales, Northern Territory."
169,†Cryptotermes glaesarius,542,Distribution: Neotropical Region—Dominican Republic.
170,Cryptotermes hainanensis,80,Distribution: Oriental Region—China: Hainan.
170,Cryptotermes havilandi,285,Distribution: Ethiopian Region—Cameroon; Comoros Islands; Congo-Brazzaville; Congo-   Zaire; Equatorial Guinea; Europa Island; Fernando Pó; Gambia; Ghana; Ivory Coast; Kenya; Madagascar; Mozambique; Namibia; Nigeria; Senegal; Sierra Leone; South Africa; Swaziland; Tanzania; Zimbabwe.
174,Cryptotermes hemicyclius,478,Distribution: Neotropical Region—Jamaica.
175,Cryptotermes hilli,80,Distribution: Australian Region—Australia: Queensland.
175,Cryptotermes juliani,240,Distribution: Neotropical Region—Dominican Republic.
175,Cryptotermes karachiensis,352,Distribution: Oriental Region—Pakistan.
175,Cryptotermes kirbyi,579,Distribution: Ethiopian Region—Madagascar.
178,Cryptotermes merwei,80,Distribution: Ethiopian Region—South Africa.
178,Cryptotermes naudei,520,Distribution: Ethiopian Region—South Africa.
179,Cryptotermes nitens,195,Distribution: Neotropical Region—Cayman Islands; Jamaica.
179,Cryptotermes nitidus,319,Distribution: Australian Region—Australia: Queensland.
179,Cryptotermes pallidus,457,Distribution: Ethiopian Region—Mauritius; Réunion.
180,Cryptotermes papulosus,261,Distribution: Australian Region—Australia: South Australia.
180,Cryptotermes parvifrons,410,Distribution: Neotropical Region—Grenada; Trinidad and Tobago.
180,Cryptotermes penaoru,562,Distribution: Papuan Region—Vanuatu.
181,Cryptotermes perforans,80,Distribution: Oriental Region—Sri Lanka.
182,Cryptotermes primus,80,Distribution: Australian Region—Australia: New South Wales: Lord Howe Island; Queensland.
183,Cryptotermes pyrodomus,80,Distribution: Neotropical Region—Barbados; St.
184,Cryptotermes roonwali,321,Distribution: Oriental Region—India: Karnataka; Kerala.
184,Cryptotermes rotundiceps,591,Distribution: Neotropical Region—Dominican Republic; Puerto Rico.
185,†Cryptotermes ryshkoffi,167,Distribution: Nearctic Region—USA: California.
185,Cryptotermes secundus,387,"Distribution: Australian Region—Australia: Northern Territory, Queensland, Western Australia."
186,Cryptotermes silvestrii,406,Distribution: Ethiopian Region—Congo-Brazzaville; Congo-Zaire; Nigeria.
187,Cryptotermes spathifrons,80,Distribution: Neotropical Region—Cayman Islands; Cuba; Dominican Republic.
187,Cryptotermes sukauensis,204,Distribution: Oriental Region—Malaysia: Sabah.
188,Cryptotermes thailandis,184,Distribution: Oriental Region—Malaysia: Mainland; Thailand.
188,Cryptotermes tropicalis,486,Distribution: Australian Region—Australia: Queensland.
189,Cryptotermes undulans,80,Distribution: Neotropical Region—Puerto Rico; US Virgin Islands.
190,†Cryptotermes yamini,80,Distribution: Neotropical Region—Dominican Republic.
190,†Cycalichnus garciorum,427,Distribution: Neotropical Region—Argentina.
195,Epicalotermes kempae,317,Distribution: Ethiopian Region—Kenya; Tanzania.
195,Epicalotermes mkuzii,576,Distribution: Ethiopian Region—South Africa; Swaziland; Tanzania.
196,Epicalotermes munroi,228,Distribution: Ethiopian Region—South Africa.
196,Epicalotermes pakistanicus,443,Distribution: Paleaerctic Region—Pakistan: Baluchistan.
197,Epicalotermes planifrons,80,Distribution: Ethiopian Region—Madagascar.
197,Eucryptotermes breviceps,540,Distribution: Neotropical Region—Brazil: Amazonas.
198,Eucryptotermes hagenii,80,Distribution: Neotropical Region—Brazil: Santa Caterina.
200,Glyptotermes adamsoni,490,Distribution: Neotropical Region—Trinidad and Tobago.
201,Glyptotermes almorensis,80,Distribution: Oriental Region—India: Uttarakhand.
202,Glyptotermes angustus,195,Distribution: Neotropical Region—Costa Rica; Nicaragua; Panama.
202,Glyptotermes arshadi,589,Distribution: Oriental Region—Bangladesh.
204,Glyptotermes besarensis,80,Distribution: Oriental Region—Indonesia: Java.
205,Glyptotermes brachythorax,349,"Distribution: Oriental Region—China: Guangdong, Hainan."
205,Glyptotermes brevicaudatus,541,"Distribution: Oriental Region—Indonesia: Java, Kalimantan, Sulawesi, Sumatra, Krakatau  Islands; Malaysia: Sabah, Sarawak; Thailand."
206,Glyptotermes brevicornis,559,"Distribution: Australian Region—Australia: Lord Howe Island, New South Wales, Norfolk  Island, Queensland; New Zealand."
208,Glyptotermes buttelreepeni,498,Distribution: Oriental Region—Malaysia: Mainland.
209,Glyptotermes canellae,151,"Distribution: Neotropical Region—Argentina: Misiones; Brazil: Santa Caterina, São Paulo."
209,Glyptotermes caudomunitus,522,"Distribution: Oriental Region—Indonesia: Java, Krakatau Islands; Malaysia: Sabah."
211,Glyptotermes chapmani,388,Distribution: Oriental Region—Philippines: Leyte: Negros.
212,Glyptotermes chatterjii,80,Distribution: Oriental Region—Malaysia: Sabah.
214,Glyptotermes curticeps,451,Distribution: Oriental Region—China: Fujian.
215,Glyptotermes daiyunensis,80,Distribution: Oriental Region—China: Fujian.
215,Glyptotermes daweishanensis,295,Distribution: Oriental Region—China: Yunnan.
216,Glyptotermes dentatus,80,"Distribution: Oriental Region—Malaysia: Sabah, Sarawak."
216,Glyptotermes dilatatus,404,Distribution: Oriental Region—Sri Lanka.
218,Glyptotermes eucalypti,80,"Distribution: Australian Region—Australia: Capital Territory, New South Wales, Queensland,  Victoria."
220,Glyptotermes fujianensis,80,"Distribution: Oriental Region—China: Fujian, Guangdong, Hainan, Hubei, Sichuan, Yunnan;  Taiwan."
222,Glyptotermes guamensis,80,Distribution: Papuan Region—Guam.
224,Glyptotermes ignotus,184,Distribution: Ethiopian Region—Uganda.
224,Glyptotermes insulanus,366,Distribution: Ethiopian Region—São Tomé and Principe.
224,Glyptotermes iridipennis,569,"Distribution: Australian Region—Australia: New South Wales, South Australia, Victoria."
226,Glyptotermes kachongensis,80,Distribution: Oriental Region—Malaysia: Mainland; Thailand.
226,Glyptotermes kawandae,261,Distribution: Ethiopian Region—Uganda.
226,Glyptotermes kirbyi,465,Distribution: Oriental Region—Indonesia: Sumatra.
227,Glyptotermes kunakensis,80,Distribution: Oriental Region—Malaysia: Sabah.
227,Glyptotermes laticaudomunitus,219,Distribution: Oriental Region—Malaysia: Sabah.
227,Glyptotermes latignathus,346,Distribution: Oriental Region—China: Sichuan.
228,Glyptotermes liangshanensis,151,Distribution: Oriental Region—China: Sichuan.
228,Glyptotermes liberatus,366,Distribution: Neotropical Region—Cuba; Dominican Republic; Haiti; Jamaica; Puerto Rico;  Virgin Islands.
229,Glyptotermes lighti,80,"Distribution: Papuan Region—Marshall Islands, Solomon Islands."
229,Glyptotermes limulingensis,192,"Distribution: Oriental Region—China: Guangdong, Hainan."
229,Glyptotermes longipennis,373,Distribution: Neotropical Region—Colombia.
229,Glyptotermes longnanensis,500,"Distribution: Oriental Region—China: Gansu, Hubei, Sichuan."
230,Glyptotermes longuisculus,173,Distribution: Ethiopian Region—Congo-Zaire.
